="表1 维度三：四大审计对ESG评级颗粒度的影响"

="",="(1)",="(2)",="(3)"
="",="outcome_metrics",="outcome_metrics",="outcome_metrics"

="input_metrics",="-0.0610",="-0.0610",="-0.0513"
="",="(0.130)",="(0.130)",="(0.132)"

="rel_year_m5",="14.14",="",=""
="",="(11.56)",="",=""

="rel_year_m4",="3.392",="",=""
="",="(7.337)",="",=""

="rel_year_m3",="-10.02*",="",=""
="",="(5.935)",="",=""

="rel_year_m2",="2.222",="",=""
="",="(6.755)",="",=""

="rel_year_0",="1.671",="",=""
="",="(6.203)",="",=""

="rel_year_1",="6.304",="",=""
="",="(6.939)",="",=""

="rel_year_2",="5.224",="",=""
="",="(7.036)",="",=""

="rel_year_3",="13.20**",="",=""
="",="(5.756)",="",=""

="rel_year_4",="5.953",="",=""
="",="(6.870)",="",=""

="rel_year_5",="8.249",="",=""
="",="(6.991)",="",=""

="rel_year_6",="26.88***",="",=""
="",="(9.053)",="",=""

="rel_year_7",="39.19***",="",=""
="",="(8.187)",="",=""

="rel_year_8",="69.62***",="",=""
="",="(6.431)",="",=""

="rel_year_9",="29.67**",="",=""
="",="(12.00)",="",=""

="size",="10.09***",="10.09***",="9.415***"
="",="(3.151)",="(3.151)",="(3.180)"

="ROE",="0.486**",="0.486**",="0.524**"
="",="(0.209)",="(0.209)",="(0.213)"

="ZCFZL",="0.174*",="0.174*",="0.177**"
="",="(0.0882)",="(0.0882)",="(0.0896)"

="jgcg",="0.0780",="0.0780",="0.0924"
="",="(0.0561)",="(0.0561)",="(0.0568)"

="NHSYL",="-0.318**",="-0.318**",="-0.334**"
="",="(0.144)",="(0.144)",="(0.145)"

="2013.year",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="2014.year",="-21.50***",="-21.50***",="-21.71***"
="",="(2.739)",="(2.739)",="(2.723)"

="2015.year",="0.730",="0.730",="0.881"
="",="(2.774)",="(2.774)",="(2.704)"

="2016.year",="-2.802",="-2.802",="-2.527"
="",="(3.087)",="(3.087)",="(3.014)"

="2017.year",="-2.253",="-2.253",="-1.744"
="",="(2.830)",="(2.830)",="(2.731)"

="2018.year",="4.065",="4.065",="5.171*"
="",="(2.736)",="(2.736)",="(2.700)"

="2019.year",="9.685***",="9.685***",="10.97***"
="",="(2.845)",="(2.845)",="(2.795)"

="2020.year",="19.45***",="19.45***",="21.32***"
="",="(2.783)",="(2.783)",="(2.697)"

="2021.year",="25.31***",="25.31***",="28.63***"
="",="(2.998)",="(2.998)",="(2.876)"

="2022.year",="47.04***",="47.04***",="49.23***"
="",="(2.922)",="(2.922)",="(2.787)"

="rel_year_alt_m5",="",="11.92",=""
="",="",="(13.38)",=""

="rel_year_alt_m4",="",="1.171",=""
="",="",="(6.609)",=""

="rel_year_alt_m3",="",="-12.24**",=""
="",="",="(6.017)",=""

="rel_year_alt_m1",="",="-2.222",=""
="",="",="(6.755)",=""

="rel_year_alt_0",="",="-0.551",=""
="",="",="(7.796)",=""

="rel_year_alt_1",="",="4.083",=""
="",="",="(7.234)",=""

="rel_year_alt_2",="",="3.002",=""
="",="",="(7.543)",=""

="rel_year_alt_3",="",="10.98*",=""
="",="",="(6.574)",=""

="rel_year_alt_4",="",="3.732",=""
="",="",="(6.761)",=""

="rel_year_alt_5",="",="6.027",=""
="",="",="(7.285)",=""

="rel_year_alt_6",="",="24.66***",=""
="",="",="(9.355)",=""

="rel_year_alt_7",="",="36.97***",=""
="",="",="(8.951)",=""

="rel_year_alt_8",="",="67.40***",=""
="",="",="(6.877)",=""

="rel_year_alt_9",="",="27.45**",=""
="",="",="(12.52)",=""

="rel_year_short_m3",="",="",="-25.93***"
="",="",="",="(4.503)"

="rel_year_short_m2",="",="",="-14.76**"
="",="",="",="(6.041)"

="rel_year_short_0",="",="",="-18.59***"
="",="",="",="(5.597)"

="rel_year_short_1",="",="",="-14.13**"
="",="",="",="(6.460)"

="rel_year_short_2",="",="",="-15.65**"
="",="",="",="(6.750)"

="rel_year_short_3",="",="",="-8.179"
="",="",="",="(5.525)"

="rel_year_short_4",="",="",="-15.82**"
="",="",="",="(6.354)"

="rel_year_short_5",="",="",="-14.72***"
="",="",="",="(5.603)"

="_cons",="32.48***",="32.82***",="35.06***"
="",="(10.62)",="(10.62)",="(10.85)"

="N",="2182",="2182",="2182"
="企业固定效应",="",="",=""
="年度固定效应",="",="",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
